"Title","ID","Owner","Created Date","Updated Date","Nombre Participante","ID. Participante","Código ficha","Título de la iniciativa","Entidad promotora","Información de Contacto","Año Desde","Año Hasta","IMPLEMENTADA","ORIGEN (EM o INST)","PROVINCIA IMPULSORA","PROVINCIAS APLICACIÓN","T.I: 1-SERVICIOS","T.I. 2-PROCESOS","T.I. 3-GESTION PERSONAS","T.I. 4-PARTICIPACIÓN","T.I. 5-ORGANIZATIVA","T.I. 6-CAMBIO CULTURAL","T.I. 7-TECNOLÓGICA","T.I. 8-TRANSPARENCIA","T.I. 9-COLABORACIÓN","T.I. 10-GEST.CON","T.I. 11-BIENESTAR","T.I. 12-IGUALDAD GEN","T.I. 13-SENSIB.CUIDAD.","T.I. 14-NORMATIVO","A.A. 1-TURISMO","A.A. 2-JUSTICIA","A.A. 3-ADMON PUB.","A.A. 4-INTERIOR","A.A. 5-EMPLEO","A.A. 6-HACIENDA","A.A. 7-IND.ENERG","A.A. 8-EDUCACIÓN","A.A. 9-DEPORTE","A.A. 10-AGRIC-GAN-PESC","A.A. 11-M.AMBIENTE","A.A. 12-ECON.EMP.","A.A. 13-CON-UNIV","A.A. 14-SALUD","A.A. 15-POLIT.SOC.","A.A. 16-MEDIO RURAL","A.A. 17-MOVILIDAD","A.A. 18-CULTURA","A.A. 19-FOMENTO","Ayuntamientos","Diputaciones","Lista_fichas_mapeo (Código ficha)","Lista_fichas_mapeo (All)","Lista_fichas_mapeo (All)"
,"47793c90-89e3-4705-9fa4-7cda67ca1fe1","4cae7c50-911e-4ce3-af40-51b09400bae8",2019-04-05T18:50:21Z,2019-04-05T18:50:21Z,"RAFAEL ZAFRA",10,"10.08","PLAN ANDALUZ DE LA BICICLETA","CONSEJERIA DE FOMENTO Y VIVIENDA","COMISION DE SEGUIMIENTO DEL PLAN ANDALUZ DE LA BICICLETA",2014,"2020",true,"INST","ANDALUCIA","ANDALUCIA",true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,true,false,false,"/ficha-mapeo/10.08","/lista-ficha-mapeo/","/lista-ficha-mapeo-2/"
,"c65da1b2-3d6e-4396-83cf-5db133a2c87e","4cae7c50-911e-4ce3-af40-51b09400bae8",2019-04-05T18:50:21Z,2019-04-05T18:50:21Z,"RAFAEL ZAFRA",10,"10.09","PROGRAMA DE INTERMEDIACIÓN EN EL MERCADO DEL ALQUILER DE VIVIENDAS EN LA COMUNIDAD AUTONOMA DE ANDALUCIA - PIMA","CONSEJERIA DE FOMENTO Y VIVIENDA","DIRECCION GENERAL DE VIVIENDA",2013,"ACTUALIDAD",true,"INST","ANDALUCIA","ANDALUCIA",true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,"/ficha-mapeo/10.09","/lista-ficha-mapeo/","/lista-ficha-mapeo-2/"
,"659c6136-1006-430d-903b-5fed52907cbe","4cae7c50-911e-4ce3-af40-51b09400bae8",2019-04-05T18:50:21Z,2019-04-05T18:50:21Z,"Gregoria Montoya",11,"11.1","SLSEPA: Localización y Seguimiento de Embarcaciones Pesqueras Andaluzas","Consejería de Agricultura, Ganadería, Pesca y Desarrollo Sostenible","Dirección General de Pesca y Acuicultura: l-slsepa.capder@juntadeandalucia.es",2004,"ACTUALIDAD",true,"INST","Andalucía","Andalucía",true,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,false,false,"/ficha-mapeo/11.1","/lista-ficha-mapeo/","/lista-ficha-mapeo-2/"
,"9e439bef-7433-410f-94a3-bb2ab9a57b54","4cae7c50-911e-4ce3-af40-51b09400bae8",2019-04-05T18:50:21Z,2019-04-05T18:50:21Z,"Gregoria Montoya",11,"11.1","La Red de Energía de la Administración de la Junta de Andalucía (REDEJA)","Consejería de Hacienda, Industria y Energía. Agencia Andaluza de la Energía ","N/D",2007,"ACTUALIDAD",true,"INST","Andalucía","Andalucía",false,false,false,false,true,false,true,false,false,false,false,false,false,false,false,false,true,false,false,false,true,false,false,false,true,false,false,false,false,false,false,false,false,false,false,"/ficha-mapeo/11.1","/lista-ficha-mapeo/","/lista-ficha-mapeo-2/"
,"4a4d51f9-d22c-4944-9be1-1b7de155504a","4cae7c50-911e-4ce3-af40-51b09400bae8",2019-04-05T18:50:21Z,2019-04-05T18:50:21Z,"Gregoria Montoya",11,"11.2","Aplicación para programación del Riego y la Fertilización del Olivar","Consejería de Agricultura, Ganadería, Pesca y Desarrollo Sostenible","Instituto de Formación Agraria y Pesquera IFAPA",2015,"ACTUALIDAD",true,"INST","Andalucía","Andalucía",true,false,false,false,false,false,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,false,false,false,false,false,false,false,false,false,"/ficha-mapeo/11.2","/lista-ficha-mapeo/","/lista-ficha-mapeo-2/"
,"cf18276b-4da9-474a-86f2-00f069ad83ea","4cae7c50-911e-4ce3-af40-51b09400bae8",2019-04-05T18:50:21Z,2019-04-05T18:50:21Z,"Gregoria Montoya",11,"11.3","App ""Dona Sangre Andalucía"" para informar sobre puntos de donación, fecha de colectas y alertas de grupos sanguíneos","Consejería de Salud y Familias.","Servicio Andaluz de Salud",2016,"ACTUALIDAD",true,"INST","Andalucía","Andalucía",true,false,false,true,false,false,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,"/ficha-mapeo/11.3","/lista-ficha-mapeo/","/lista-ficha-mapeo-2/"
,"faf29bf4-dd1b-49af-9b98-2de50c295ed6","4cae7c50-911e-4ce3-af40-51b09400bae8",2019-04-05T18:50:21Z,2019-04-05T18:50:21Z,"Gregoria Montoya",11,"11.4","Centro Ibérico para la Investigación y Lucha contra los Incendios Forestales (CILIFO)","Consejería de Agricultura, Ganadería, Pesca y Desarrollo Sostenible.","Dirección General de Medio Natural, Biodiversidad y Espacios Protegidos. Centro Operativo Regional y Extinción de Incendios Forestales. Juan Sánchez Ruiz (Director)",2018,"2021",false,"INST","Andalucía","Andalucía",true,true,true,false,true,false,true,false,true,true,false,false,true,false,false,false,false,false,false,false,false,true,false,false,true,false,true,false,false,true,false,false,false,true,false,"/ficha-mapeo/11.4","/lista-ficha-mapeo/","/lista-ficha-mapeo-2/"
,"dc98cbca-013c-4b79-9045-93a9722a94b6","4cae7c50-911e-4ce3-af40-51b09400bae8",2019-04-05T18:50:21Z,2019-04-05T18:50:21Z,"Gregoria Montoya",11,"11.5","SERVIFAPA","Consejería de Agricultura, Ganadería, Pesca y Desarrollo Sostenible","Instituto de Formación Agraria y Pesquera IFAPA",2012,"ACTUALIDAD",true,"INST","Andalucía","Andalucía",true,false,false,true,false,false,true,false,false,true,false,false,false,false,false,false,false,false,true,false,false,true,false,true,false,false,false,false,false,false,false,false,false,false,false,"/ficha-mapeo/11.5","/lista-ficha-mapeo/","/lista-ficha-mapeo-2/"
,"e12e4f0f-61dc-4e71-8bca-e6a09866b794","4cae7c50-911e-4ce3-af40-51b09400bae8",2019-04-05T18:50:21Z,2019-04-05T18:50:21Z,"Gregoria Montoya",11,"11.6","Ventana del Visitante de los Espacios Naturales","Consejería de Agricultura, Ganadería, Pesca y Desarrollo Sostenible/Agencia de Medio Ambiente y Agua","N/D",2009,"ACTUALIDAD",true,"INST","Andalucía","Andalucía",true,false,false,false,false,false,true,false,false,true,false,false,true,false,true,false,false,false,false,false,false,true,false,false,true,true,false,false,false,false,false,false,false,false,false,"/ficha-mapeo/11.6","/lista-ficha-mapeo/","/lista-ficha-mapeo-2/"
,"a1900734-3ee4-489e-a281-d3a3b2a67e4d","4cae7c50-911e-4ce3-af40-51b09400bae8",2019-04-05T18:50:21Z,2019-04-05T18:50:21Z,"Gregoria Montoya",11,"11.7","GUALDALINFO:  La red de innovación social de Andalucía","Consejería de Economía, Conocimiento, Empresas y Universidad","Consorcio Fernando de los Ríos (gestiona Guadalinfo)",2003,"ACTUALIDAD",true,"INST","Andalucía","Andalucía",true,false,false,true,false,false,false,false,false,true,false,false,false,false,false,false,false,false,true,false,false,true,false,false,false,true,true,false,false,false,false,false,false,true,true,"/ficha-mapeo/11.7","/lista-ficha-mapeo/","/lista-ficha-mapeo-2/"
